"IP","Hostname","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"63.88.73.11","11.73.88.63.ashburn.google-ggc.verizon.com","-","2004-03-07 16:05:49","GMT-0800","GET","/twiki/bin/edit/Main/Double_bounce_sender?topicparent=Main.ConfigurationVariables",401,12846,"",""
"64.242.88.10","","-","2004-03-07 16:06:51","GMT-0800","GET","/twiki/bin/rdiff/TWiki/NewUserTemplate?rev1=1.3&rev2=1.2",200,4523,"",""
"63.88.73.11","11.73.88.63.ashburn.google-ggc.verizon.com","-","2004-03-07 16:10:02","GMT-0800","GET","/mailman/listinfo/hsdivision",200,6291,"",""
"64.242.88.10","","-","2004-03-07 16:11:58","GMT-0800","GET","/twiki/bin/view/TWiki/WikiSyntax",200,7352,"",""
"64.242.88.10","","-","2004-03-07 16:20:55","GMT-0800","GET","/twiki/bin/view/Main/DCCAndPostFix",200,5253,"",""
"64.242.88.10","","-","2004-03-07 16:23:12","GMT-0800","GET","/twiki/bin/oops/TWiki/AppendixFileSystem?template=oopsmore¶m1=1.12¶m2=1.12",200,11382,"",""
"64.242.88.10","","-","2004-03-07 16:24:16","GMT-0800","GET","/twiki/bin/view/Main/PeterThoeny",200,4924,"",""
"64.242.88.10","","-","2004-03-07 16:29:16","GMT-0800","GET","/twiki/bin/edit/Main/Header_checks?topicparent=Main.ConfigurationVariables",401,12851,"",""
"63.88.73.11","11.73.88.63.ashburn.google-ggc.verizon.com","-","2004-03-07 16:30:29","GMT-0800","GET","/twiki/bin/attach/Main/OfficeLocations",401,12851,"",""
"64.242.88.10","","-","2004-03-07 16:31:48","GMT-0800","GET","/twiki/bin/view/TWiki/WebTopicEditTemplate",200,3732,"",""
"64.242.88.10","","-","2004-03-07 16:32:50","GMT-0800","GET","/twiki/bin/view/Main/WebChanges",200,40520,"",""
"64.242.88.10","","-","2004-03-07 16:33:53","GMT-0800","GET","/twiki/bin/edit/Main/Smtpd_etrn_restrictions?topicparent=Main.ConfigurationVariables",401,12851,"",""
"64.242.88.10","","-","2004-03-07 16:35:19","GMT-0800","GET","/mailman/listinfo/business",200,6379,"",""
"64.242.88.10","","-","2004-03-07 16:36:22","GMT-0800","GET","/twiki/bin/rdiff/Main/WebIndex?rev1=1.2&rev2=1.1",200,46373,"",""
"63.88.73.11","11.73.88.63.ashburn.google-ggc.verizon.com","-","2004-03-07 16:37:27","GMT-0800","GET","/twiki/bin/view/TWiki/DontNotify",200,4140,"",""
"64.242.88.10","","-","2004-03-07 16:39:24","GMT-0800","GET","/twiki/bin/view/Main/TokyoOffice",200,3853,"",""
"64.242.88.10","","-","2004-03-07 16:43:54","GMT-0800","GET","/twiki/bin/view/Main/MikeMannix",200,3686,"",""
"64.242.88.10","","-","2004-03-07 16:45:56","GMT-0800","GET","/twiki/bin/attach/Main/PostfixCommands",401,12846,"",""
"64.242.88.10","","-","2004-03-07 16:47:12","GMT-0800","GET","/robots.txt",200,68,"",""
"64.242.88.10","","-","2004-03-07 16:47:46","GMT-0800","GET","/twiki/bin/rdiff/Know/ReadmeFirst?rev1=1.5&rev2=1.4",200,5724,"",""
"64.242.88.10","","-","2004-03-07 16:49:04","GMT-0800","GET","/twiki/bin/view/Main/TWikiGroups?rev=1.2",200,5162,"",""
"64.242.88.10","","-","2004-03-07 16:50:54","GMT-0800","GET","/twiki/bin/rdiff/Main/ConfigurationVariables",200,59679,"",""
"64.242.88.10","","-","2004-03-07 16:52:35","GMT-0800","GET","/twiki/bin/edit/Main/Flush_service_name?topicparent=Main.ConfigurationVariables",401,12851,"",""
"64.242.88.10","","-","2004-03-07 16:53:46","GMT-0800","GET","/twiki/bin/rdiff/TWiki/TWikiRegistration",200,34395,"",""
"64.242.88.10","","-","2004-03-07 16:54:55","GMT-0800","GET","/twiki/bin/rdiff/Main/NicholasLee",200,7235,"",""
"64.242.88.10","","-","2004-03-07 16:56:39","GMT-0800","GET","/twiki/bin/view/Sandbox/WebHome?rev=1.6",200,8545,"",""
